Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,CON16,Connector Header Through Hole 16 position 0.100" (2.54mm),,AD/IO,,PREC016SAAN-RC,69,,,
2,1,1 uF,1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),,C1,,CL21B105KAFNNNE,108,,,
3,1,1 uF,1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),,C2,,CL21B105KAFNNNE,111,,,
4,1,100nF,100nF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),,C3,,CL21B105KAFNNNE,201,,,
5,1,1 uF,1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),,C4,,CL21B105KAFNNNE,206,,,
6,1,DIODE,,,D1,,1N4148W-7-F,117,,,
7,1,LED GREEN,,,D2,,CMD17-21VGD/TR8,123,,,
8,1,LED GREEN,,,D3,,CMD17-21VGD/TR8,126,,,
9,1,CON2,Connector Header Through Hole 2 position 0.100" (2.54mm),,J2,,PREC002SAAN-RC,138,,,
10,1,CON2,Connector Header Through Hole 2 position 0.100" (2.54mm),,J3,,PREC002SAAN-RC,114,,,
11,1,CON6 R/A,"Connector Header Through Hole, Right Angle 6 position 0.100" (2.54mm)",,J4,,61300611021,96,,,
12,1,CON4 R/A,Connector Header Through Hole 4 position 0.100" (2.54mm),,J7,,PREC004SAAN-RC,103,,,
13,1,PWR_JACK,"2.0 mm Center Pin, 2.5 A, Right Angle, Through Hole, Open Frame, Dc Power Jack Connector",,PWR_JACK,,PJ-003A,141,,,
14,1,1k,,,R1,,RNCP0603FTD1K00,6,,,
15,1,1k,,,R2,,RNCP0603FTD1K00,145,,,
16,1,10k,,,R3,,RNCP0603FTD10K0,3,,,
17,1,CON9 R/A,Connector Header Through Hole 9 position 0.100" (2.54mm),,RST-GND-5V-RX-TX-D2-D3-D4,,PREC009SAAN-RC,86,,,
18,1,SWITCH SPST-NO,Tactile Switch SPST-NO Top Actuated Surface Mount,,SW1,,1571563-4,60,,,
19,1,LDO,,,U1,,MCP1802T-5002I/OT,129,,,
20,1,IC MCU 32KB,,,U2,,ATMEGA328P-15AZ,21,,,
21,1,16.00 MHz,16MHz Ceramic Resonator Built in Capacitor 22pF ±0.5% 40 Ohms -40°C ~ 85°C Surface Mount,,Y1,,AWSCR-16.00MTD-T,65,,,
